analysis_id,j96846679h8e00m
mouse_strain,C57BL
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:1913483
pvalue,0.1266935
gene_symbol,Dmap1
mouse_life_stage,E12.5
