analysis_id,jtf176jsf4d8q9f
mouse_strain,C57BL
gene_symbol,BMI1
pvalue,0.4969733
mouse_life_stage,E12.5
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:88174
parameter_id,MGP_PBI_003_001
