gene_symbol,Atf3
parameter_name,Neural tube closure
analysis_id,yux08rf8soj8usv
gene_accession_id,MGI:109384
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
pvalue,0.1736317
mouse_life_stage,Early adult
