analysis_id,cn2h11jm9x43632
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Forebrain
pvalue,0.5824441
gene_accession_id,MGI:97838
parameter_id,IMPC_GEL_028_001
