analysis_id,6oe8q77827gecw1
gene_accession_id,MGI:106659
pvalue,0.3882869
parameter_id,IMPC_ECG_028_001
gene_symbol,Sprr1b
mouse_strain,C57BL
parameter_name,QT
mouse_life_stage,Early adult
