analysis_id,t5cl7a31ry03mu6
pvalue,0.1085966
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:2441730
parameter_id,MGP_MLN_021_001
gene_symbol,Tbl1xr1
