parameter_name,Joints
pvalue,0.3904267
analysis_id,ih6uzz478t39q7q
gene_symbol,Npbwr1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:891989
parameter_id,IMPC_XRY_027_001
