parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
analysis_id,14r437j4n0z3mg3
parameter_id,IMPC_IMM_034_001
pvalue,0.4038838
