parameter_name,Gait
mouse_strain,C57BL
gene_accession_id,MGI:1916363
pvalue,0.3407072
analysis_id,2jqm5702lwfa945
gene_symbol,Alkbh3
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
