gene_symbol,Lcn2
mouse_strain,C57BL
parameter_id,IMPC_XRY_023_001
pvalue,0.734867
gene_accession_id,MGI:96757
parameter_name,Ulna
analysis_id,wbdwp2f26566n5t
mouse_life_stage,Early adult
