mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_strain,C57BL
pvalue,0.7826951
analysis_id,247yj6q03oymf71
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
parameter_id,IMPC_FEA_106_001
