parameter_name,Femur
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,IMPC_XRY_024_001
pvalue,0.6749557
analysis_id,ztf282zz3cy51wl
