analysis_id,9wr7bu8s8b6940t
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.4339334
