analysis_id,300ud7lq626y2w7
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
parameter_name,Total protein
gene_symbol,Toporsl
parameter_id,IMPC_CBC_006_001
pvalue,0.6486775
