parameter_id,MGP_CSD_066_001
pvalue,0.2346675
mouse_life_stage,Early adult
parameter_name,Snout morphology
gene_symbol,Cisd2
mouse_strain,C57BL
analysis_id,08z11ece41g7u0m
gene_accession_id,MGI:1914256
