parameter_name,Neutrophils
mouse_strain,C57BL
pvalue,0.6436951
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Middle aged adult
analysis_id,tslgpani6p6j1e0
