analysis_id,991406eid73bt54
gene_accession_id,MGI:1914672
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
pvalue,0.2044484
parameter_name,Latency to center entry
mouse_life_stage,Early adult
gene_symbol,Dhdds
