parameter_name,Retina (combined)
pvalue,0.3734043
analysis_id,4b58yq1uhr20j9x
gene_symbol,Bmi1
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
