gene_symbol,Morn5
pvalue,0.05322969
analysis_id,047x3738729728m
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_accession_id,MGI:1922745
