analysis_id,xb416rz0nb37kc5
parameter_name,QT
parameter_id,IMPC_ECG_028_001
pvalue,0.2503667
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
