parameter_id,M-G-P_005_001_004
gene_symbol,Trp53i11
parameter_name,Bone Mineral Density (excluding skull)
analysis_id,i0a92i2dh854811
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5140756
gene_accession_id,MGI:2670995
