gene_symbol,Ilkap
gene_accession_id,MGI:1914694
analysis_id,ex94uzy5521hd4y
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
pvalue,0.3172214
mouse_strain,C57BL
