analysis_id,999729qwn33yv3b
gene_accession_id,MGI:88461
pvalue,0.6239989
parameter_id,MGP_MLN_063_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Col6a3
parameter_name,Total ab T cells - % of CD45+
