parameter_name,Snout morphology
gene_accession_id,MGI:1918025
analysis_id,j29zcbfg6n46hkt
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.4214085
mouse_strain,C57BL
