gene_symbol,F2
parameter_name,Prepulse inhibition - PP4
pvalue,0.2573349
mouse_strain,C57BL
analysis_id,c6jjekrbt08005q
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
parameter_id,ESLIM_011_001_704
