parameter_name,PQ
pvalue,0.7961216
analysis_id,2xihb8r346sok77
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1917810
