analysis_id,e033po057lx7sz6
parameter_id,IMPC_HEM_004_001
parameter_name,Hematocrit
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
mouse_life_stage,E9.5
pvalue,0.8716376
mouse_strain,C57BL
