parameter_name,Total protein
gene_accession_id,MGI:1274787
parameter_id,IMPC_CBC_006_001
pvalue,0.2279637
analysis_id,88kg8a534v7yqg9
mouse_strain,C57BL
gene_symbol,Trdmt1
mouse_life_stage,Early adult
