parameter_name,Vibrissae - appearance
mouse_strain,C54BL
gene_accession_id,MGI:1914556
analysis_id,9c91lazz3p87508
parameter_id,HMGULA_DYS_024_001
gene_symbol,Zc2hc1a
pvalue,0.8855817
mouse_life_stage,Early adult
