gene_symbol,Pex19
analysis_id,585wcd481792740
mouse_strain,C57BL
pvalue,0.3040712
parameter_name,Periphery average speed
mouse_life_stage,E18.5
parameter_id,HRWLLA_OFD_013_001
gene_accession_id,MGI:1334458
