mouse_life_stage,Middle aged adult
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1917604
analysis_id,k599du72chq5r0s
gene_symbol,Secisbp2l
pvalue,0.767707
mouse_strain,C57BL
parameter_name,Snout morphology
