parameter_name,Percentage center time
mouse_strain,C57BL
gene_accession_id,MGI:1929866
parameter_id,IMPC_OFD_022_001
analysis_id,36mf994nwvp488p
mouse_life_stage,Early adult
pvalue,0.2223946
gene_symbol,Rgs20
