gene_symbol,Zmynd19
analysis_id,rc5av629wo8827u
gene_accession_id,MGI:1914437
mouse_strain,C57BL
pvalue,0.9801016
parameter_id,JAX_LDT_004_001
parameter_name,Dark side time spent
mouse_life_stage,Early adult
