analysis_id,11w4o07cdn94ndh
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_strain,C57BL
parameter_id,MGP_MLN_014_001
mouse_life_stage,Early adult
pvalue,0
parameter_name,Resting CD8+ T cells - % of CD8+
