analysis_id,115gqpy4007jk98
mouse_strain,C57BL
parameter_id,MGP_IMM_082_001
mouse_life_stage,E12.5
parameter_name,Resting CD8+ T cells - % of CD45+
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
pvalue,0.06977425
