analysis_id,663xy5515dlyqw4
pvalue,0.2076349
parameter_id,IMPC_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_symbol,Psmd14
