parameter_name,Mean cell volume
analysis_id,e58g1zu117h4z5c
mouse_strain,C57BL
gene_accession_id,MGI:109585
gene_symbol,Pld1
pvalue,0.2092661
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_005
