analysis_id,8wf850r15p8d27u
pvalue,0.8971928
parameter_id,IMPC_EYE_010_001
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
parameter_name,Iris/Pupil
gene_symbol,Fgb
