analysis_id,671g4qu844789t4
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_id,MGP_IMM_028_001
mouse_life_stage,E9.5
pvalue,0.2127313
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Cdin1
