analysis_id,yr7b408rfb81cn4
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,E12.5
pvalue,0.4994232
