parameter_name,Bone Area
gene_symbol,Car13
parameter_id,IMPC_DXA_010_001
analysis_id,35o1sr851v47378
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931322
pvalue,0.1075822
