analysis_id,pll7u60am6lj93q
parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
mouse_strain,C57BL
pvalue,0.3809953
parameter_name,Startle Response
