analysis_id,432kk8cu5z9l8lv
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E12.5
pvalue,0.2623656
parameter_name,KLRG1+ Treg cells - % of Treg
parameter_id,MGP_MLN_011_001
mouse_strain,C57BL
