gene_symbol,Ntmt2
analysis_id,70bym191hq8wc13
pvalue,0.8260827
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
