analysis_id,hbr19z9lxb86944
mouse_life_stage,Early adult
pvalue,0.6456054
gene_symbol,Sla2
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1925049
parameter_name,Fasted blood glucose concentration
