analysis_id,vwozqn9esi3ltc7
pvalue,0.584594
mouse_life_stage,Early adult
parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
