parameter_id,UCD_OWT_003_001
pvalue,0.2720095
gene_symbol,Kcng1
analysis_id,xui24dc8z572onk
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
parameter_name,Spleen weight
mouse_strain,C57BL
