parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
gene_accession_id,MGI:103302
pvalue,0.2201994
gene_symbol,Bmp7
analysis_id,wa7yqc3zkot85g0
mouse_life_stage,Early adult
