parameter_name,HDL cholesterol
pvalue,0.6528409
parameter_id,JAX_PLC_002_001
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
mouse_strain,C57BL
analysis_id,z2qpp0nr050nx9p
mouse_life_stage,Early adult
