parameter_name,Whole arena average speed
mouse_life_stage,Early adult
parameter_id,JAX_OFD_009_001
mouse_strain,B6J
analysis_id,7133kuq0vh97292
pvalue,0.3191537
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
