parameter_name,Chloride
mouse_life_stage,Early adult
pvalue,0.4432739
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1927379
analysis_id,lv23b64dj2je0k8
