analysis_id,9b6708v9v93904n
parameter_id,ICS_FEA_019_001
pvalue,0.5384809
gene_accession_id,MGI:2446274
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
parameter_name,% Freezing duration pre-cue-2
