gene_symbol,Cisd2
pvalue,0.2402466
gene_accession_id,MGI:1914256
parameter_id,MGP_IMM_070_001
mouse_strain,C57BL
analysis_id,p6697ra0kk8cxa3
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
