parameter_name,Caudal processes
mouse_strain,C57BL
gene_accession_id,MGI:1914309
gene_symbol,Ola1
analysis_id,3woiw2liq5ecd33
mouse_life_stage,E18.5
pvalue,0.6636686
parameter_id,IMPC_XRY_067_001
