parameter_name,White blood cell count
analysis_id,b858oji25h76wf3
mouse_strain,C57BL
pvalue,0.6771796
gene_symbol,Wars2
parameter_id,IMPC_HEM_001_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
