analysis_id,q1sp01mx672c37s
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
mouse_strain,C57BL
gene_accession_id,MGI:2441730
pvalue,0.7512307
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
