analysis_id,nchj1lv136363u3
gene_accession_id,MGI:1332236
mouse_strain,129SV
gene_symbol,Cds2
pvalue,0.9860871
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
parameter_name,Startle response
