analysis_id,p5iis5h2wsrs216
parameter_id,MGP_MLN_021_001
gene_symbol,Gfi1b
pvalue,0.7198715
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1276578
