analysis_id,j8w960t08dx446b
parameter_name,Alanine aminotransferase
pvalue,0.7860372
gene_symbol,Tox
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2181659
