pvalue,0.580673
parameter_name,Right kidney weight
gene_symbol,AU040320
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,268q9fhm3z0e600
gene_accession_id,MGI:2140475
