gene_symbol,Ifi44
parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
mouse_strain,C57BL
pvalue,0.3786177
gene_accession_id,MGI:2443016
analysis_id,pj63jf8d8128u0s
mouse_life_stage,Early adult
