parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
gene_symbol,Traf6
mouse_strain,C57BL
analysis_id,s813q4kqg6n978h
gene_accession_id,MGI:108072
pvalue,0.4899273
mouse_life_stage,Early adult
