parameter_name,Embryo Size
gene_symbol,Tbl1xr1
pvalue,0.2191511
mouse_life_stage,Late adult
analysis_id,116z2m72m2u25gr
gene_accession_id,MGI:2441730
parameter_id,IMPC_GEL_032_001
mouse_strain,C57BL
