gene_symbol,Morn5
analysis_id,cxa1y6s6587v41w
parameter_name,eye size
gene_accession_id,MGI:1922745
pvalue,0.6766597
mouse_strain,C57BL
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
